ID,Name,Email,Salary,DOB
1,Steve,Steve@gmail.com,60000.0,15-03-1990
2,Oden,Oden@gmail.com,60000.0,15-03-1990
3,John,John@gmail.com,55000.0,22-07-1988
4,Brown,brown@gmail.com,70000.0,10-12-1982
5,yuvas,yuvs@gmail.com,65000.0,30-06-1991
6,rmco,rmco@gmail.com,35000.0,15-05-1996
7,ramco,ramco@gmail.com,75000.0,15-05-1956
8,rajco,rajco@gmail.com,75000.0,15-05-1956
9,rasco,rasco@gmail.com,75000.0,15-05-1956
10,rajan,rajan@gmail.com,35000.0,15-05-2002
11,xyz,xyz@gmail.com,35000.0,15-05-2002
12,pqr,pqr@gmail.com,35000.0,15-05-2002
13,pet,pom@gmail.com,55000.0,15-05-2000
14,pt,pt@gmail.com,55000.0,15-05-2000
